id,ticker,shares,entry_price,entry_date,target_price,commission_paid,status,exit_price,exit_date,exit_reason,realized_pnl,mae_pct,days_held,gap_pct
63,IZAFE-B.ST,3111.0,0.3196,2026-09-16,0.342,4.686721440662383,closed,0.28299999237060547,2026-09-18,TIDIG VARNING,-118.54934517570872,-14.580725310591792,2,4.88
62,WYLD.ST,3803.0,0.263,2026-09-15,0.2814,4.725227475065589,closed,0.23399999737739563,2026-09-22,TIDIG VARNING,-115.01223744883009,-11.026616966769726,7,1.9
61,TENEO.ST,20884.0,0.0476,2026-09-15,0.0509,4.597612600000001,closed,0.04046,2026-09-16,STOP LOSS,-153.70937259999997,-17.64705784681465,1,15.97
60,MODTX.ST,2439.0,0.4075,2026-09-15,0.436,2.48473125,open,,,,,-6.74846742782124,,4.54
59,LEMSE.ST,576.0,1.728,2026-09-14,1.849,5.150879999999999,closed,1.849,2026-09-17,MAL NATT,64.54511999999993,-3.935187116817191,3,0.81
58,K33.ST,43692.0,0.0228,2026-09-10,0.0244,5.1556560000000005,closed,0.0244,2026-09-21,MAL NATT,64.751544,-5.701751183522378,11,0.88
57,MINEST.ST,778.0,1.2788,2026-09-10,1.3683,5.148609500000001,closed,1.3683,2026-09-14,MAL NATT,64.48239050000026,-3.5032868646329915,4,1.47
56,GSKR-SDB.ST,45.0,22.08,2026-09-10,23.6256,5.1418800000000005,closed,23.6256,2026-09-21,MAL NATT,64.41012000000016,-4.89130434782608,11,0.36
55,GIG-SDB.ST,425.0,2.3505,2026-09-10,2.515,4.792406341195106,closed,2.1600000858306885,2026-09-14,TIDIG VARNING,-85.75486986315236,-8.530095921402603,4,2.15
54,ENVAR.ST,20.0,47.7125,2026-09-10,51.0524,2.385625,open,,,,,-7.361800863632268,,0.24
53,BIOVIC-B.ST,2518.0,0.3956,2026-09-10,0.4233,4.6070587,closed,0.33626,2026-09-11,STOP LOSS,-154.02517870000005,-23.913043719331224,1,24.17
52,ARCT.ST,178.0,5.5915,2026-09-10,5.9829,5.150608,closed,5.9829,2026-09-11,MAL NATT,64.51859200000014,5.696143206869524,1,0.21
51,SERT.ST,1940.0,0.5154,2026-09-09,0.5515,4.774340056660176,closed,0.4690000116825104,2026-09-17,TIDIG VARNING,-94.79031739259007,-10.942958591980757,8,1.05
50,IZAFE-B.ST,3157.0,0.3168,2026-09-09,0.339,5.1759015,closed,0.339,2026-09-10,MAL NATT,64.90949850000008,-0.8838350724692378,1,0.88
49,FREEM.ST,801.0,1.248,2026-09-08,1.3354,5.173258499999999,closed,1.3354,2026-09-09,MAL NATT,64.83414149999982,26.60256754129361,1,1.28
48,CFISH.ST,494.0,2.016,2026-09-07,2.1571,5.1537785,closed,2.1571,2026-09-15,MAL NATT,64.54962149999976,-4.960317034569998,8,0.79
47,VETT.ST,221.0,4.4913,2026-09-04,4.8057,5.1365925,closed,4.8057,2026-09-07,MAL NATT,64.34580750000008,-0.9195598320055023,3,1.03
46,NXTCL.ST,938.0,1.0628,2026-09-04,1.1372,5.159,closed,1.1372,2026-09-10,MAL NATT,64.62820000000019,-6.191195049005921,6,2.9
45,IZAFE-B.ST,3248.0,0.3072,2026-09-04,0.3287,5.163508,closed,0.3287,2026-09-08,MAL NATT,64.66849200000013,-0.39062686264514046,4,2.34
44,EXPRS2.ST,745.0,1.3392,2026-09-04,1.4329,4.785135035524368,closed,1.2300000190734863,2026-09-21,TIDIG VARNING,-86.13912082577696,-10.020904800228173,17,3.67
43,SUBGEN.ST,26636.0,0.0374,2026-09-03,0.04,5.154066,closed,0.04,2026-09-08,MAL NATT,64.09953399999992,-3.7433196516598044,5,1.07
42,MODTX.ST,2205.0,0.4516,2026-09-03,0.4832,4.749569980285764,closed,0.4099999964237213,2026-09-14,TIDIG VARNING,-96.47757786598034,-11.426039424166413,11,2.57
41,NXTCL.ST,937.0,1.0628,2026-09-02,1.1372,5.153499999999999,closed,1.1372,2026-09-03,MAL NATT,64.55930000000009,-5.908919834399696,1,0.26
40,SPRINT.ST,305.0,3.2647,2026-09-02,3.4932,4.685333837261199,closed,2.880000114440918,2026-09-09,TIDIG VARNING,-122.01879893278111,-13.008854897255137,7,2.29
39,OPTI.ST,456.0,2.205,2026-08-28,2.3594,4.679699972820282,closed,1.899999976158142,2026-09-01,TIDIG VARNING,-143.75971084470748,-14.739229241195991,4,12.56
38,DICOT.ST,5016.0,0.2001,2026-08-28,0.2141,5.194068,closed,0.2141,2026-08-31,MAL NATT,65.02993200000009,2.9485258562811487,3,0.05
37,FREEM.ST,793.0,1.2595,2026-08-27,1.3477,5.168774,closed,1.3477,2026-09-07,MAL NATT,64.77382599999984,-8.693928054137196,11,1.55
36,BIOEX.ST,422.0,2.38,2026-08-27,2.5466,5.197563000000001,closed,2.5466,2026-09-18,MAL NATT,65.10763700000028,-9.243693872660144,22,3.78
35,NXTCL.ST,946.0,1.0628,2026-08-26,1.1372,5.202999999999999,closed,1.1372,2026-08-31,MAL NATT,65.17939999999996,-4.591639238414252,5,0.64
34,IMPC.ST,374.0,2.668,2026-08-26,2.8548,5.163818000000001,closed,2.8548,2026-08-27,MAL NATT,64.69938200000006,-1.799104739164847,1,1.8
33,HILB-B.ST,270.0,3.7076,2026-08-26,3.9671,4.629865499999999,closed,3.1514599999999997,2026-08-31,STOP LOSS,-154.78766549999995,-46.542237746135505,5,3.98
32,OXE.ST,4224.0,0.2381,2026-08-26,0.2548,5.205024,closed,0.2548,2026-08-28,MAL NATT,65.33577600000008,-2.9819377577139643,2,2.56
31,DMXSE-SDB.ST,241.0,4.1485,2026-08-26,4.4389,4.6240218125000006,closed,3.526225,2026-09-01,STOP LOSS,-154.59229681250002,-15.632156201036526,6,0.69
30,MODTX.ST,2575.0,0.3567,2026-08-25,0.3817,4.753450000000001,closed,0.3817,2026-08-26,MAL NATT,59.6215499999999,4.008968851631145,1,3.56
29,LEMSE.ST,516.0,1.937,2026-08-21,2.0726,4.7871900627422335,closed,1.7740000486373901,2026-08-31,TIDIG VARNING,-88.89516496584903,-8.931334115945624,10,0.05
28,DICOT.ST,4997.0,0.2001,2026-08-21,0.2141,5.174393500000001,closed,0.2141,2026-08-24,MAL NATT,64.78360649999995,1.1494247392676342,3,1.05
27,SUBGEN.ST,20040.0,0.0499,2026-08-20,0.0534,4.744469919970035,closed,0.04479999840259552,2026-08-24,TIDIG VARNING,-106.94850193195575,-14.228453306492439,4,11.42
26,IVACC.ST,907.0,1.1022,2026-08-20,1.1794,4.6919110172996525,closed,0.9670000076293945,2026-09-14,TIDIG VARNING,-127.31830409743891,-12.266375646035705,25,9.36
25,DMXSE-SDB.ST,242.0,4.1232,2026-08-20,4.4118,5.163675,closed,4.4118,2026-08-24,MAL NATT,64.67752499999999,-3.1092383207440273,4,0.44
24,BIOEX.ST,448.0,2.2272,2026-08-20,2.3831,5.163536000000001,closed,2.3831,2026-08-26,MAL NATT,64.67966400000034,-14.6910930245087,6,18.51
23,BLINC-B.ST,9451.0,0.098,2026-08-19,0.1049,4.28366575,closed,0.0833,2026-08-21,STOP LOSS,-143.21336575000004,-15.3061256724961,2,2.04
22,STW.ST,30.0,32.265,2026-08-18,34.5236,4.6248749713897706,closed,29.399999618530273,2026-09-17,TIDIG VARNING,-90.57488641548157,-11.359056620270492,30,1.6
21,SPRINT.ST,306.0,3.2647,2026-08-18,3.4932,4.620366675,closed,2.7749949999999997,2026-08-20,STOP LOSS,-154.47009667500015,-15.153000859910136,2,0.45
20,SPEC.ST,28985.0,0.032,2026-08-17,0.0342,4.7970175,closed,0.0342,2026-08-18,MAL NATT,58.96998250000002,3.124999441206453,1,1.56
19,HEART.ST,54.0,18.4912,2026-08-18,19.7856,5.167368,closed,19.7856,2026-08-20,MAL NATT,64.7302320000001,0.047590205070524395,2,1.57
18,CLAV.ST,204.0,4.8812,2026-08-18,5.2229,5.153091,closed,5.2229,2026-08-20,MAL NATT,64.55370900000015,-2.1961778282660016,2,0.19
17,CFISH.ST,374.0,2.499,2026-08-18,2.6739,4.8366615,closed,2.6739,2026-08-19,MAL NATT,60.57593849999996,-3.7615057467078667,1,0.76
16,ONCOZ.ST,172.0,5.8121,2026-08-18,6.2189,4.62352555,closed,4.940285,2026-08-26,STOP LOSS,-154.57570554999998,-32.72655174840955,8,0.21
15,HILB-B.ST,266.0,3.7582,2026-08-18,4.0213,5.1733674999999995,closed,4.0213,2026-08-21,MAL NATT,64.81123250000005,-4.209464514060763,3,3.15
